From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_022800921.1	A0A2B4RRZ9	unreviewed	A0A2B4RRZ9_STYPI	Ubiquitin-ribosomal protein eL40 fusion protein	RpL40 AWC38_SpisGene16493	Stylophora pistillata (Smooth cauliflower coral)	129	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	RpL40
XP_022793604.1	A0A2B4RZ88	unreviewed	A0A2B4RZ88_STYPI	DDRGK domain-containing protein 1	Ddrgk1 AWC38_SpisGene11660	Stylophora pistillata (Smooth cauliflower coral)	1051	membrane [GO:0016020]	DNA integration [GO:0015074]	GO:0003676; GO:0015074; GO:0016020	nucleic acid binding [GO:0003676]	membrane [GO:0016020]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	Ddrgk1
XP_022784085.1	A0A2B4T1D4	unreviewed	A0A2B4T1D4_STYPI	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	PPIB AWC38_SpisGene569	Stylophora pistillata (Smooth cauliflower coral)	217	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]	protein folding [GO:0006457]	GO:0005737; GO:0006457; GO:0016018; GO:0043231; GO:0140839; GO:0140840	cyclosporin A binding [GO:0016018]; RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; cyclosporin A binding [GO:0016018]; RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; protein folding [GO:0006457]	PPIB
XP_038055792.1	A0A913ZWC0	unreviewed	A0A913ZWC0_PATMI	Integrase catalytic domain-containing protein		Patiria miniata (Bat star) (Asterina miniata)	366		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_022800606.1	A0A2B4RR79	unreviewed	A0A2B4RR79_STYPI	Ubiquitin-conjugating enzyme E2 G2	UBE2G2 AWC38_SpisGene16284	Stylophora pistillata (Smooth cauliflower coral)	166			GO:0005524; GO:0016740	ATP binding [GO:0005524]; transferase activity [GO:0016740]	ATP binding [GO:0005524]; transferase activity [GO:0016740]	UBE2G2
XP_022805148.1	A0A2B4RJC8	unreviewed	A0A2B4RJC8_STYPI	DUF5641 domain-containing protein	AWC38_SpisGene19392	Stylophora pistillata (Smooth cauliflower coral)	1451		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA metabolic process [GO:0006259]	
XP_020893927.1	A0A913WTM6	unreviewed	A0A913WTM6_EXADI	DM domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	183	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006355; GO:0043565; GO:0046872	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355]	
XP_020908929.1	A0A913XR60	unreviewed	A0A913XR60_EXADI	Pro-Pol polyprotein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1729		DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	
XP_028512507.1	A0A913YDA5	unreviewed	A0A913YDA5_EXADI	Reverse transcriptase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	333						
XP_022802608.1	A0A2B4RMG8	unreviewed	A0A2B4RMG8_STYPI	Protein phosphatase 1 regulatory subunit 12B	PPP1R12B AWC38_SpisGene17638	Stylophora pistillata (Smooth cauliflower coral)	813	cytoplasm [GO:0005737]		GO:0004857; GO:0005737; GO:0019208; GO:0019901	enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; protein kinase binding [GO:0019901]	cytoplasm [GO:0005737]; enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; protein kinase binding [GO:0019901]	PPP1R12B
XP_028518878.1	A0A913YUY7	unreviewed	A0A913YUY7_EXADI	Mutator-like transposase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	659			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	
XP_022791784.1	A0A2B4S744	unreviewed	A0A2B4S744_STYPI	Transposon Ty3-I Gag-Pol polyprotein	TY3B-I AWC38_SpisGene10490	Stylophora pistillata (Smooth cauliflower coral)	1068		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA metabolic process [GO:0006259]	TY3B-I
XP_022805469.1	A0A2B4REQ3	unreviewed	A0A2B4REQ3_STYPI	Putative nuclease HARBI1	Harbi1 AWC38_SpisGene19646	Stylophora pistillata (Smooth cauliflower coral)	499	nucleus [GO:0005634]		GO:0004518; GO:0005634; GO:0046872	metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	Harbi1
XP_020897589.1	A0A913X1T2	unreviewed	A0A913X1T2_EXADI	Endonuclease		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1375		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_020913988.2	A0A913Y316	unreviewed	A0A913Y316_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1947	centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]	microtubule anchoring at centrosome [GO:0034454]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	GO:0034451; GO:0034454; GO:0036064; GO:0071539; GO:1905515		centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; microtubule anchoring at centrosome [GO:0034454]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]	
XP_022790553.1	A0A2B4SB46	unreviewed	A0A2B4SB46_STYPI	RNA helicase (EC 3.6.4.13)	MOV10 AWC38_SpisGene9698	Stylophora pistillata (Smooth cauliflower coral)	1221	cytoplasm [GO:0005737]	regulatory ncRNA-mediated gene silencing [GO:0031047]	GO:0003723; GO:0005737; GO:0031047; GO:0032574	5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; 5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]; regulatory ncRNA-mediated gene silencing [GO:0031047]	MOV10
XP_028516601.1	A0A913YQ47	unreviewed	A0A913YQ47_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	313		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_022784415.1	A0A2B4SJ17	unreviewed	A0A2B4SJ17_STYPI	Mitochondrial genome maintenance exonuclease 1	AWC38_SpisGene5899	Stylophora pistillata (Smooth cauliflower coral)	324						
XP_027053871.1	A0A3M6T8Q2	unreviewed	A0A3M6T8Q2_POCDA	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	pdam_00006612	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	119	small ribosomal subunit [GO:0015935]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015935	structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
XP_028519371.1	A0A913YZ39	unreviewed	A0A913YZ39_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	614		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_022778981.1	A0A2B4SVI6	unreviewed	A0A2B4SVI6_STYPI	Zinc finger protein 862	ZNF862 AWC38_SpisGene2539	Stylophora pistillata (Smooth cauliflower coral)	734						ZNF862
XP_022783551.1	A0A2B4SN96	unreviewed	A0A2B4SN96_STYPI	Integrase catalytic domain-containing protein	AWC38_SpisGene5386	Stylophora pistillata (Smooth cauliflower coral)	398		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_022779004.1	A0A2B4STB0	unreviewed	A0A2B4STB0_STYPI	Putative nuclease HARBI1	harbi1 AWC38_SpisGene2597	Stylophora pistillata (Smooth cauliflower coral)	813		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]	harbi1
XP_031552348.1	A0A6P8HB52	unreviewed	A0A6P8HB52_ACTTE	Uncharacterized protein LOC116289542	LOC116289542	Actinia tenebrosa (Australian red waratah sea anemone)	190						LOC116289542
XP_031574733.1	A0A6P8JAI5	unreviewed	A0A6P8JAI5_ACTTE	Uncharacterized protein LOC116308454	LOC116308454	Actinia tenebrosa (Australian red waratah sea anemone)	475						LOC116308454
XP_028518416.1	A0A913YWH4	unreviewed	A0A913YWH4_EXADI	Reverse transcriptase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1171		DNA integration [GO:0015074]	GO:0003676; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_020903182.1	A0A913XF34	unreviewed	A0A913XF34_EXADI	Endonuclease		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1303		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_027056181.1	A0A3M6UY42	unreviewed	A0A3M6UY42_POCDA	J domain-containing protein	pdam_00022564	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	689	cytoplasm [GO:0005737]; membrane [GO:0016020]		GO:0005737; GO:0016020		cytoplasm [GO:0005737]; membrane [GO:0016020]	
XP_027055161.1	A0A3M6T5R0	unreviewed	A0A3M6T5R0_POCDA	Tyr recombinase domain-containing protein	pdam_00025450	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	855		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
XP_022791351.1	A0A2B4SZV8	unreviewed	A0A2B4SZV8_STYPI	ATP-binding cassette sub-family G member 4	ABCG4 AWC38_SpisGene1049	Stylophora pistillata (Smooth cauliflower coral)	653	plasma membrane [GO:0005886]		GO:0005524; GO:0005886; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ABCG4
XP_022799868.1	A0A2B4RSL0	unreviewed	A0A2B4RSL0_STYPI	52 kDa repressor of the inhibitor of the protein kinase	PRKRIR AWC38_SpisGene15813	Stylophora pistillata (Smooth cauliflower coral)	655			GO:0016301; GO:0046983	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	PRKRIR
XP_022791406.1	A0A2B4S9A1	unreviewed	A0A2B4S9A1_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene10220	Stylophora pistillata (Smooth cauliflower coral)	605		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA metabolic process [GO:0006259]	K02A2.6
XP_022784619.1	A0A2B4T1E6	unreviewed	A0A2B4T1E6_STYPI	DUF5641 domain-containing protein	AWC38_SpisGene692	Stylophora pistillata (Smooth cauliflower coral)	1516			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	
XP_022777575.1	A0A2B4SS56	unreviewed	A0A2B4SS56_STYPI	E3 ubiquitin-protein ligase TRIM71	Trim71 AWC38_SpisGene2419	Stylophora pistillata (Smooth cauliflower coral)	931		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]	GO:0000209; GO:0043161; GO:0061630	ubiquitin protein ligase activity [GO:0061630]	ubiquitin protein ligase activity [GO:0061630]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]	Trim71
XP_022795167.1	A0A2B4S151	unreviewed	A0A2B4S151_STYPI	E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27)	CBLL1 AWC38_SpisGene12678	Stylophora pistillata (Smooth cauliflower coral)	411	nucleus [GO:0005634]	protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]	GO:0005634; GO:0008270; GO:0016567; GO:0030155; GO:0061630	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]	CBLL1
XP_031572115.1	A0A6P8J3F3	unreviewed	A0A6P8J3F3_ACTTE	Metalloendopeptidase (EC 3.4.24.-)	LOC116306203	Actinia tenebrosa (Australian red waratah sea anemone)	295		proteolysis [GO:0006508]	GO:0004222; GO:0006508; GO:0008270	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	LOC116306203
XP_022797033.1	A0A2B4RZ10	unreviewed	A0A2B4RZ10_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene13941	Stylophora pistillata (Smooth cauliflower coral)	332		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	K02A2.6
XP_022794518.1	A0A2B4S3Q2	unreviewed	A0A2B4S3Q2_STYPI	BEN domain-containing protein	AWC38_SpisGene12256	Stylophora pistillata (Smooth cauliflower coral)	404			GO:0003677	DNA binding [GO:0003677]	DNA binding [GO:0003677]	
XP_022799894.1	A0A2B4RQ53	unreviewed	A0A2B4RQ53_STYPI	PiggyBac transposable element-derived protein 5	PGBD5 AWC38_SpisGene15826	Stylophora pistillata (Smooth cauliflower coral)	410						PGBD5
XP_028518214.1	A0A913YSP0	unreviewed	A0A913YSP0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	93						
XP_022792501.1	A0A2B4S523	unreviewed	A0A2B4S523_STYPI	Kinesin-like protein	KRP95 AWC38_SpisGene10919	Stylophora pistillata (Smooth cauliflower coral)	763	microtubule [GO:0005874]	microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]	KRP95
XP_020910816.1	A0A913XXL0	unreviewed	A0A913XXL0_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	778		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_027037488.1	A0A3M6UP54	unreviewed	A0A3M6UP54_POCDA	Olfactomedin-like domain-containing protein	pdam_00013315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	661	extracellular space [GO:0005615]	signal transduction [GO:0007165]	GO:0005615; GO:0007165		extracellular space [GO:0005615]; signal transduction [GO:0007165]	
XP_022777507.1	A0A2B4R724	unreviewed	A0A2B4R724_STYPI	Uncharacterized protein	AWC38_SpisGene24067	Stylophora pistillata (Smooth cauliflower coral)	427						
XP_031573730.1	A0A6P8JA80	unreviewed	A0A6P8JA80_ACTTE	Uncharacterized protein LOC116307602	LOC116307602	Actinia tenebrosa (Australian red waratah sea anemone)	295			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	LOC116307602
XP_022805973.1	A0A2B4RHQ8	unreviewed	A0A2B4RHQ8_STYPI	HAT C-terminal dimerisation domain-containing protein	AWC38_SpisGene19979	Stylophora pistillata (Smooth cauliflower coral)	756	nucleus [GO:0005634]		GO:0005634; GO:0046983	protein dimerization activity [GO:0046983]	nucleus [GO:0005634]; protein dimerization activity [GO:0046983]	
XP_020901871.1	A0A913XBC0	unreviewed	A0A913XBC0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	222						
XP_022785093.1	A0A2B4SJB8	unreviewed	A0A2B4SJB8_STYPI	Zinc finger MYM-type protein 1	ZMYM1 AWC38_SpisGene6284	Stylophora pistillata (Smooth cauliflower coral)	1481	transmembrane transporter complex [GO:1902495]	monoatomic ion transmembrane transport [GO:0034220]	GO:0022857; GO:0034220; GO:1902495	transmembrane transporter activity [GO:0022857]	transmembrane transporter complex [GO:1902495]; transmembrane transporter activity [GO:0022857]; monoatomic ion transmembrane transport [GO:0034220]	ZMYM1
XP_027048310.1	A0A3M6TLQ5	unreviewed	A0A3M6TLQ5_POCDA	Ribosomal protein L37a	pdam_00004878	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	92	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
XP_022804676.1	A0A2B4R5D9	unreviewed	A0A2B4R5D9_STYPI	RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene23123	Stylophora pistillata (Smooth cauliflower coral)	606						
XP_022804676.1	A0A2B4RJY6	unreviewed	A0A2B4RJY6_STYPI	RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene19036	Stylophora pistillata (Smooth cauliflower coral)	1043						
XP_022803733.1	A0A2B4RLP7	unreviewed	A0A2B4RLP7_STYPI	PiggyBac transposable element-derived protein 5	PGBD5 AWC38_SpisGene18407	Stylophora pistillata (Smooth cauliflower coral)	636						PGBD5
XP_022809206.1	A0A2B4R4S7	unreviewed	A0A2B4R4S7_STYPI	THAP-type domain-containing protein	AWC38_SpisGene22576	Stylophora pistillata (Smooth cauliflower coral)	491			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	
XP_022800740.1	A0A2B4RQZ3	unreviewed	A0A2B4RQZ3_STYPI	SWIM-type domain-containing protein	AWC38_SpisGene16382	Stylophora pistillata (Smooth cauliflower coral)	557			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	
XP_022800815.1	A0A2B4RPQ4	unreviewed	A0A2B4RPQ4_STYPI	Calcineurin subunit B type 1	Ppp3r1 AWC38_SpisGene16444	Stylophora pistillata (Smooth cauliflower coral)	170			GO:0005509	calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	Ppp3r1
XP_020905427.1	A0A913XIP7	unreviewed	A0A913XIP7_EXADI	BRO1 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	343						
XP_022789302.1	A0A2B4SBL6	unreviewed	A0A2B4SBL6_STYPI	Uncharacterized protein	AWC38_SpisGene8895	Stylophora pistillata (Smooth cauliflower coral)	691						
XP_022800706.1	A0A2B4RR20	unreviewed	A0A2B4RR20_STYPI	Reverse transcriptase zinc-binding domain-containing protein	AWC38_SpisGene16355	Stylophora pistillata (Smooth cauliflower coral)	142						
XP_022781929.1	A0A2B4SQY8	unreviewed	A0A2B4SQY8_STYPI	Translocon-associated protein subunit beta (TRAP-beta) (Signal sequence receptor subunit beta)	SSR2 AWC38_SpisGene4256	Stylophora pistillata (Smooth cauliflower coral)	189	endoplasmic reticulum membrane [GO:0005789]		GO:0005789		endoplasmic reticulum membrane [GO:0005789]	SSR2
XP_022793285.1	A0A2B4S4N6	unreviewed	A0A2B4S4N6_STYPI	Transient receptor potential cation channel subfamily A member 1	AWC38_SpisGene11414	Stylophora pistillata (Smooth cauliflower coral)	705						
XP_022793285.1	A0A2B4S5K9	unreviewed	A0A2B4S5K9_STYPI	Transient receptor potential cation channel subfamily A member 1	AWC38_SpisGene11351	Stylophora pistillata (Smooth cauliflower coral)	443						
XP_031563963.1	A0A6P8I7J3	unreviewed	A0A6P8I7J3_ACTTE	Uncharacterized protein LOC116299444	LOC116299444	Actinia tenebrosa (Australian red waratah sea anemone)	329		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	LOC116299444
XP_013381517.1	A0A1S3H6A4	unreviewed	A0A1S3H6A4_LINUN	Calmodulin isoform X3	LOC106152471	Lingula unguis	149	myosin II complex [GO:0016460]		GO:0005509; GO:0016460	calcium ion binding [GO:0005509]	myosin II complex [GO:0016460]; calcium ion binding [GO:0005509]	LOC106152471
XP_022794719.1	A0A2B4RZJ3	unreviewed	A0A2B4RZJ3_STYPI	Collagen alpha-4(VI) chain	Col6a4 AWC38_SpisGene12394	Stylophora pistillata (Smooth cauliflower coral)	1860	collagen trimer [GO:0005581]		GO:0005581		collagen trimer [GO:0005581]	Col6a4
XP_031569848.1	A0A6P8IUL5	unreviewed	A0A6P8IUL5_ACTTE	Uncharacterized protein LOC116304280	LOC116304280	Actinia tenebrosa (Australian red waratah sea anemone)	168	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	LOC116304280
XP_022793870.1	A0A2B4S595	unreviewed	A0A2B4S595_STYPI	PiggyBac transposable element-derived protein 5	PGBD5 AWC38_SpisGene11807	Stylophora pistillata (Smooth cauliflower coral)	746			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	PGBD5
XP_022798026.1	A0A2B4RXH4	unreviewed	A0A2B4RXH4_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene14585	Stylophora pistillata (Smooth cauliflower coral)	702			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	K02A2.6
XP_031560001.1	A0A6P8HXD6	unreviewed	A0A6P8HXD6_ACTTE	Uncharacterized protein LOC116296171	LOC116296171	Actinia tenebrosa (Australian red waratah sea anemone)	551		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC116296171
XP_022792059.1	A0A2B4S6L8	unreviewed	A0A2B4S6L8_STYPI	Nucleolar protein 4	NOL4 AWC38_SpisGene10711	Stylophora pistillata (Smooth cauliflower coral)	752						NOL4
XP_031555133.1	A0A6P8HJS0	unreviewed	A0A6P8HJS0_ACTTE	Uncharacterized protein LOC116292034	LOC116292034	Actinia tenebrosa (Australian red waratah sea anemone)	824		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	LOC116292034
XP_031555948.1	A0A6P8HLW3	unreviewed	A0A6P8HLW3_ACTTE	Uncharacterized protein K02A2.6-like	LOC116292736	Actinia tenebrosa (Australian red waratah sea anemone)	354		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC116292736
XP_031552556.1	A0A6P8HAD8	unreviewed	A0A6P8HAD8_ACTTE	HMG domain-containing protein 3-like isoform X1	LOC116289753	Actinia tenebrosa (Australian red waratah sea anemone)	836						LOC116289753
XP_028513100.1	A0A913YCR7	unreviewed	A0A913YCR7_EXADI	Paraneoplastic antigen Ma-like C-terminal domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	222						
XP_031552557.1	A0A6P8HIR8	unreviewed	A0A6P8HIR8_ACTTE	HMG domain-containing protein 3-like isoform X2	LOC116289753	Actinia tenebrosa (Australian red waratah sea anemone)	776						LOC116289753
XP_022784874.1	A0A2B4SEH8	unreviewed	A0A2B4SEH8_STYPI	Clavaminate synthase-like protein	AWC38_SpisGene6135	Stylophora pistillata (Smooth cauliflower coral)	790			GO:0016491	oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	
XP_027054251.1	A0A3M6T814	unreviewed	A0A3M6T814_POCDA	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain-containing protein	pdam_00011717	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	368			GO:0003676; GO:0016787; GO:0046872	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	
XP_022802223.1	A0A2B4RG49	unreviewed	A0A2B4RG49_STYPI	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene19594	Stylophora pistillata (Smooth cauliflower coral)	1599	membrane [GO:0016020]		GO:0003964; GO:0008168; GO:0016020; GO:0016706	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	membrane [GO:0016020]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	
XP_022802223.1	A0A2B4S4U6	unreviewed	A0A2B4S4U6_STYPI	PiggyBac transposable element-derived protein 1	PGBD1 AWC38_SpisGene10978	Stylophora pistillata (Smooth cauliflower coral)	671			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	PGBD1
XP_020897214.2	A0A913X125	unreviewed	A0A913X125_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	752						
