From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
XP_022779498.1	A0A2B4SNI6	unreviewed	A0A2B4SNI6_STYPI	Tubulin beta chain	AWC38_SpisGene2884	Stylophora pistillata (Smooth cauliflower coral)	446	microtubule [GO:0005874]	microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
XP_020897972.1	A0A913X2N6	unreviewed	A0A913X2N6_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	318	extracellular space [GO:0005615]	proteolysis [GO:0006508]	GO:0004252; GO:0005615; GO:0006508	serine-type endopeptidase activity [GO:0004252]	extracellular space [GO:0005615]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
XP_028516197.1	A0A913YNW8	unreviewed	A0A913YNW8_EXADI	Endonuclease/exonuclease/phosphatase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	382			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_022790151.1	A0A2B4SBX8	unreviewed	A0A2B4SBX8_STYPI	Fibronectin type-II domain-containing protein	AWC38_SpisGene9410	Stylophora pistillata (Smooth cauliflower coral)	1262	cytoplasm [GO:0005737]	L-arabinose metabolic process [GO:0046373]	GO:0005737; GO:0046373; GO:0046556	alpha-L-arabinofuranosidase activity [GO:0046556]	cytoplasm [GO:0005737]; alpha-L-arabinofuranosidase activity [GO:0046556]; L-arabinose metabolic process [GO:0046373]
XP_027056271.1	A0A3M6UXV8	unreviewed	A0A3M6UXV8_POCDA	EGF-like domain-containing protein	pdam_00010740	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	505	nucleus [GO:0005634]		GO:0003713; GO:0005524; GO:0005634	ATP binding [GO:0005524]; transcription coactivator activity [GO:0003713]	nucleus [GO:0005634]; ATP binding [GO:0005524]; transcription coactivator activity [GO:0003713]
XP_031554042.1	A0A6P8HN09	unreviewed	A0A6P8HN09_ACTTE	Uncharacterized protein LOC116291060	LOC116291060	Actinia tenebrosa (Australian red waratah sea anemone)	144					
XP_028514411.1	A0A913YJ66	unreviewed	A0A913YJ66_EXADI	Endonuclease		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1280		DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0004190; GO:0006508; GO:0008270; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; proteolysis [GO:0006508]
XP_031553692.1	A0A6P8HM22	unreviewed	A0A6P8HM22_ACTTE	Uncharacterized protein LOC116290730	LOC116290730	Actinia tenebrosa (Australian red waratah sea anemone)	714			GO:0004842	ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]
XP_028514449.1	A0A913YHA2	unreviewed	A0A913YHA2_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1144					
XP_027042923.1	A0A3M6V1S3	unreviewed	A0A3M6V1S3_POCDA	CUB domain-containing protein	pdam_00001153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	503	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
XP_027059013.1	A0A3M6URV3	unreviewed	A0A3M6URV3_POCDA	SAP domain-containing protein	pdam_00025867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	265					
XP_022803023.1	A0A2B4RNA0	unreviewed	A0A2B4RNA0_STYPI	THAP domain-containing protein 8	THAP8 AWC38_SpisGene17909	Stylophora pistillata (Smooth cauliflower coral)	607			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
XP_031572676.1	A0A6P8IYT6	unreviewed	A0A6P8IYT6_ACTTE	Matrix metalloproteinase-9-like	LOC116306723	Actinia tenebrosa (Australian red waratah sea anemone)	179	cell surface [GO:0009986]; extracellular region [GO:0005576]		GO:0005576; GO:0008201; GO:0008237; GO:0009986	heparin binding [GO:0008201]; metallopeptidase activity [GO:0008237]	cell surface [GO:0009986]; extracellular region [GO:0005576]; heparin binding [GO:0008201]; metallopeptidase activity [GO:0008237]
XP_022791543.1	A0A2B4S7N2	unreviewed	A0A2B4S7N2_STYPI	Endonuclease/exonuclease/phosphatase domain-containing protein	AWC38_SpisGene10325	Stylophora pistillata (Smooth cauliflower coral)	444			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_027040208.1	A0A3M6U5N6	unreviewed	A0A3M6U5N6_POCDA	Paired box protein Pax-3	pdam_00008348	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	686	nucleus [GO:0005634]		GO:0000978; GO:0000981; GO:0005634	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
XP_020909539.1	A0A913XTK0	unreviewed	A0A913XTK0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	926		proteolysis [GO:0006508]	GO:0004190; GO:0006508	aspartic-type endopeptidase activity [GO:0004190]	aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
XP_031555942.1	A0A6P8HTH5	unreviewed	A0A6P8HTH5_ACTTE	Uncharacterized protein LOC116292729	LOC116292729	Actinia tenebrosa (Australian red waratah sea anemone)	509		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
XP_022807479.1	A0A2B4RE48	unreviewed	A0A2B4RE48_STYPI	Ubiquitin-like protease family profile domain-containing protein	AWC38_SpisGene21172	Stylophora pistillata (Smooth cauliflower coral)	1133					
XP_022810646.1	A0A2B4R3C4	unreviewed	A0A2B4R3C4_STYPI	Tetratricopeptide repeat protein 38	Ttc38 AWC38_SpisGene23972	Stylophora pistillata (Smooth cauliflower coral)	544		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
XP_031558237.1	A0A6P8I055	unreviewed	A0A6P8I055_ACTTE	Uncharacterized protein K02A2.6-like	LOC116294726	Actinia tenebrosa (Australian red waratah sea anemone)	556		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_020915082.2	A0A913Y4Q2	unreviewed	A0A913Y4Q2_EXADI	Adenylate kinase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	502					
XP_027042029.1	A0A3M6U1K3	unreviewed	A0A3M6U1K3_POCDA	Uncharacterized protein	pdam_00018741	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	162					
XP_022790434.1	A0A2B4S8Q7	unreviewed	A0A2B4S8Q7_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene9607	Stylophora pistillata (Smooth cauliflower coral)	1066		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_022796269.1	A0A2B4S0E3	unreviewed	A0A2B4S0E3_STYPI	CCHC-type domain-containing protein	AWC38_SpisGene13436	Stylophora pistillata (Smooth cauliflower coral)	532			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_027058190.1	A0A3M6UTF6	unreviewed	A0A3M6UTF6_POCDA	Integrase catalytic domain-containing protein	pdam_00024622	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	333		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_022783680.1	A0A2B4SIU0	unreviewed	A0A2B4SIU0_STYPI	NFX1-type zinc finger-containing protein 1	Znfx1 AWC38_SpisGene5424	Stylophora pistillata (Smooth cauliflower coral)	2726	cytoplasm [GO:0005737]; nuclear RNA-directed RNA polymerase complex [GO:0031380]	immune system process [GO:0002376]; regulatory ncRNA-mediated heterochromatin formation [GO:0031048]	GO:0002376; GO:0003676; GO:0004386; GO:0005737; GO:0008270; GO:0031048; GO:0031380	helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; immune system process [GO:0002376]; regulatory ncRNA-mediated heterochromatin formation [GO:0031048]
XP_022806416.1	A0A2B4RCX6	unreviewed	A0A2B4RCX6_STYPI	CCHC-type domain-containing protein	AWC38_SpisGene20283	Stylophora pistillata (Smooth cauliflower coral)	645	membrane [GO:0016020]		GO:0003676; GO:0008270; GO:0016020	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	membrane [GO:0016020]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_022783298.1	A0A2B4SH88	unreviewed	A0A2B4SH88_STYPI	SWIM-type domain-containing protein	AWC38_SpisGene5150	Stylophora pistillata (Smooth cauliflower coral)	1837		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
XP_020910827.1	A0A913XW75	unreviewed	A0A913XW75_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	167			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
XP_031553741.1	A0A6P8HDI7	unreviewed	A0A6P8HDI7_ACTTE	Uncharacterized protein LOC116290780	LOC116290780	Actinia tenebrosa (Australian red waratah sea anemone)	291					
XP_020896698.1	A0A913X095	unreviewed	A0A913X095_EXADI	Tyr recombinase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	321		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_031565302.1	A0A6P8IEI8	unreviewed	A0A6P8IEI8_ACTTE	Uncharacterized protein LOC116300558	LOC116300558	Actinia tenebrosa (Australian red waratah sea anemone)	402					
XP_022785776.1	A0A2B4SIW6	unreviewed	A0A2B4SIW6_STYPI	Serine/threonine-protein phosphatase (EC 3.1.3.16)	ppp4cb AWC38_SpisGene6810	Stylophora pistillata (Smooth cauliflower coral)	309			GO:0017018; GO:0033192; GO:0140791; GO:0180004; GO:0180005; GO:0180006; GO:0180007; GO:0180008; GO:1990439	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; myosin phosphatase activity [GO:0017018]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; myosin phosphatase activity [GO:0017018]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
XP_022782118.1	A0A2B4SQV4	unreviewed	A0A2B4SQV4_STYPI	V-type proton ATPase 21 kDa proteolipid subunit	ATP6V0B AWC38_SpisGene4394	Stylophora pistillata (Smooth cauliflower coral)	215	proton-transporting V-type ATPase, V0 domain [GO:0033179]		GO:0033179; GO:0046961	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	proton-transporting V-type ATPase, V0 domain [GO:0033179]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
XP_020894254.1	A0A913WUD5	unreviewed	A0A913WUD5_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	515					
XP_022800929.1	A0A2B4RQJ1	unreviewed	A0A2B4RQJ1_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene16523	Stylophora pistillata (Smooth cauliflower coral)	597		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_020898141.1	A0A913X312	unreviewed	A0A913X312_EXADI	DDE Tnp4 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	288			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]
XP_028519766.1	A0A913Z067	unreviewed	A0A913Z067_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	407					
XP_031569221.1	A0A6P8IQ69	unreviewed	A0A6P8IQ69_ACTTE	Uncharacterized protein LOC116303760	LOC116303760	Actinia tenebrosa (Australian red waratah sea anemone)	305					
XP_022787898.1	A0A2B4SFF2	unreviewed	A0A2B4SFF2_STYPI	Guanine nucleotide exchange factor VAV3	Vav3 AWC38_SpisGene8056	Stylophora pistillata (Smooth cauliflower coral)	1450	cytoplasm [GO:0005737]	cell migration [GO:0016477]; intracellular signal transduction [GO:0035556]; proteolysis [GO:0006508]	GO:0004222; GO:0004252; GO:0005085; GO:0005737; GO:0006508; GO:0008270; GO:0016477; GO:0035556	guanyl-nucleotide exchange factor activity [GO:0005085]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; guanyl-nucleotide exchange factor activity [GO:0005085]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]; cell migration [GO:0016477]; intracellular signal transduction [GO:0035556]; proteolysis [GO:0006508]
XP_022792840.1	A0A2B4S5G8	unreviewed	A0A2B4S5G8_STYPI	Protein FRG1	Frg1 AWC38_SpisGene11138	Stylophora pistillata (Smooth cauliflower coral)	260	catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; striated muscle dense body [GO:0055120]		GO:0005730; GO:0051015; GO:0055120; GO:0071013	actin filament binding [GO:0051015]	catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; striated muscle dense body [GO:0055120]; actin filament binding [GO:0051015]
XP_022787693.1	A0A2B4SDB1	unreviewed	A0A2B4SDB1_STYPI	Uncharacterized protein	AWC38_SpisGene7936	Stylophora pistillata (Smooth cauliflower coral)	283					
XP_022804791.1	A0A2B4RHD3	unreviewed	A0A2B4RHD3_STYPI	Putative nuclease HARBI1	HARBI1 AWC38_SpisGene19145	Stylophora pistillata (Smooth cauliflower coral)	428	nucleus [GO:0005634]		GO:0004518; GO:0005634; GO:0046872	metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]
XP_020911503.1	A0A913XXN1	unreviewed	A0A913XXN1_EXADI	Peptidase aspartic putative domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	992					
XP_022800921.1	A0A2B4RRZ9	unreviewed	A0A2B4RRZ9_STYPI	Ubiquitin-ribosomal protein eL40 fusion protein	RpL40 AWC38_SpisGene16493	Stylophora pistillata (Smooth cauliflower coral)	129	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
XP_022796604.1	A0A2B4RYB3	unreviewed	A0A2B4RYB3_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene13709	Stylophora pistillata (Smooth cauliflower coral)	634			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_031566988.1	A0A6P8IKM6	unreviewed	A0A6P8IKM6_ACTTE	Zinc finger protein 862-like	LOC116301955	Actinia tenebrosa (Australian red waratah sea anemone)	380					
XP_022809538.1	A0A2B4S4B7	unreviewed	A0A2B4S4B7_STYPI	BTB/POZ domain-containing protein 6-B	btbd6b AWC38_SpisGene11529	Stylophora pistillata (Smooth cauliflower coral)	1104			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]
XP_031559708.1	A0A6P8HWF6	unreviewed	A0A6P8HWF6_ACTTE	Uncharacterized protein LOC116295886	LOC116295886	Actinia tenebrosa (Australian red waratah sea anemone)	526	extracellular matrix [GO:0031012]		GO:0003824; GO:0031012	catalytic activity [GO:0003824]	extracellular matrix [GO:0031012]; catalytic activity [GO:0003824]
XP_031551204.1	A0A6P8H4C3	unreviewed	A0A6P8H4C3_ACTTE	LOW QUALITY PROTEIN: craniofacial development protein 2-like	LOC116288540	Actinia tenebrosa (Australian red waratah sea anemone)	258					
XP_020916872.1	A0A913Y9J0	unreviewed	A0A913Y9J0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	151					
XP_022808249.1	A0A2B4RB91	unreviewed	A0A2B4RB91_STYPI	Folliculin	FLCN AWC38_SpisGene21790	Stylophora pistillata (Smooth cauliflower coral)	551	centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; nucleus [GO:0005634]; spindle [GO:0005819]	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]	GO:0000122; GO:0005096; GO:0005634; GO:0005765; GO:0005813; GO:0005819; GO:0005829; GO:0005929; GO:0030511; GO:1904263	GTPase activator activity [GO:0005096]	centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; nucleus [GO:0005634]; spindle [GO:0005819]; GTPase activator activity [GO:0005096]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]
XP_031566249.1	A0A6P8IHR8	unreviewed	A0A6P8IHR8_ACTTE	Uncharacterized protein LOC116301350 isoform X2	LOC116301350	Actinia tenebrosa (Australian red waratah sea anemone)	302					
XP_027056174.1	A0A3M6UXY8	unreviewed	A0A3M6UXY8_POCDA	Amidase domain-containing protein	pdam_00023471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	334			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_022807254.1	A0A2B4SMS7	unreviewed	A0A2B4SMS7_STYPI	PiggyBac transposable element-derived protein 1	PGBD1 AWC38_SpisGene5453	Stylophora pistillata (Smooth cauliflower coral)	1309					
XP_031570631.1	A0A6P8ITR0	unreviewed	A0A6P8ITR0_ACTTE	Uncharacterized protein LOC116304964	LOC116304964	Actinia tenebrosa (Australian red waratah sea anemone)	594					
XP_022785752.1	A0A2B4SHJ6	unreviewed	A0A2B4SHJ6_STYPI	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene6734	Stylophora pistillata (Smooth cauliflower coral)	838			GO:0003676; GO:0003964; GO:0004519	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]
XP_022791430.1	A0A2B4S9C0	unreviewed	A0A2B4S9C0_STYPI	Transketolase (EC 2.2.1.1)	TKT AWC38_SpisGene10250	Stylophora pistillata (Smooth cauliflower coral)	623	cytoplasm [GO:0005737]	glyceraldehyde-3-phosphate metabolic process [GO:0019682]	GO:0004802; GO:0005737; GO:0019682; GO:0030976; GO:0046872	metal ion binding [GO:0046872]; thiamine pyrophosphate binding [GO:0030976]; transketolase activity [GO:0004802]	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; thiamine pyrophosphate binding [GO:0030976]; transketolase activity [GO:0004802]; glyceraldehyde-3-phosphate metabolic process [GO:0019682]
XP_020896683.1	A0A913WZS7	unreviewed	A0A913WZS7_EXADI	DUF6729 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1351					
XP_022809309.1	A0A2B4RAI2	unreviewed	A0A2B4RAI2_STYPI	MULE transposase domain-containing protein	AWC38_SpisGene22695	Stylophora pistillata (Smooth cauliflower coral)	405					
XP_020906525.1	A0A913XM58	unreviewed	A0A913XM58_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	224					
XP_022791784.1	A0A2B4S744	unreviewed	A0A2B4S744_STYPI	Transposon Ty3-I Gag-Pol polyprotein	TY3B-I AWC38_SpisGene10490	Stylophora pistillata (Smooth cauliflower coral)	1068		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA metabolic process [GO:0006259]
XP_031549912.1	A0A6P8HB65	unreviewed	A0A6P8HB65_ACTTE	Uncharacterized protein LOC116287378	LOC116287378	Actinia tenebrosa (Australian red waratah sea anemone)	1062					
XP_022779406.1	A0A2B4SZT8	unreviewed	A0A2B4SZT8_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene253	Stylophora pistillata (Smooth cauliflower coral)	772			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_020897214.2	A0A913X125	unreviewed	A0A913X125_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	752					
XP_028513967.1	A0A913YHH8	unreviewed	A0A913YHH8_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1164					
XP_031559870.1	A0A6P8I532	unreviewed	A0A6P8I532_ACTTE	Uncharacterized protein LOC116296056	LOC116296056	Actinia tenebrosa (Australian red waratah sea anemone)	474			GO:0003677	DNA binding [GO:0003677]	DNA binding [GO:0003677]
XP_022803372.1	A0A2B4SWG0	unreviewed	A0A2B4SWG0_STYPI	60S ribosomal protein L37a	RPL37A AWC38_SpisGene1880	Stylophora pistillata (Smooth cauliflower coral)	92	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
XP_020901902.1	A0A913XBF3	unreviewed	A0A913XBF3_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	656					
XP_028518211.1	A0A913YVY4	unreviewed	A0A913YVY4_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	270					
XP_020917209.2	A0A913YBG4	unreviewed	A0A913YBG4_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	463					
XP_022804737.1	A0A2B4RII2	unreviewed	A0A2B4RII2_STYPI	Uncharacterized protein	AWC38_SpisGene19088	Stylophora pistillata (Smooth cauliflower coral)	726					
XP_028514452.1	A0A913YIX1	unreviewed	A0A913YIX1_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	348					
XP_022797149.1	A0A2B4RY67	unreviewed	A0A2B4RY67_STYPI	Netrin receptor DCC	Dcc AWC38_SpisGene14016	Stylophora pistillata (Smooth cauliflower coral)	1805	membrane [GO:0016020]	cell-cell adhesion [GO:0098609]	GO:0016020; GO:0098609		membrane [GO:0016020]; cell-cell adhesion [GO:0098609]
XP_031562828.1	A0A6P8I4L4	unreviewed	A0A6P8I4L4_ACTTE	Uncharacterized protein LOC116298483	LOC116298483	Actinia tenebrosa (Australian red waratah sea anemone)	126					
XP_022778981.1	A0A2B4SVI6	unreviewed	A0A2B4SVI6_STYPI	Zinc finger protein 862	ZNF862 AWC38_SpisGene2539	Stylophora pistillata (Smooth cauliflower coral)	734					
XP_027047226.1	A0A3M6TPL2	unreviewed	A0A3M6TPL2_POCDA	Reverse transcriptase domain-containing protein	pdam_00020488	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	315					
XP_020914627.1	A0A913Y4F3	unreviewed	A0A913Y4F3_EXADI	Tesmin/TSO1-like CXC domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	715					
XP_031563974.1	A0A6P8I5W3	unreviewed	A0A6P8I5W3_ACTTE	Uncharacterized protein LOC116299456	LOC116299456	Actinia tenebrosa (Australian red waratah sea anemone)	713		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_020893414.1	A0A913YEP7	unreviewed	A0A913YEP7_EXADI	Myb-like domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	278					
XP_022798128.1	A0A2B4RUN6	unreviewed	A0A2B4RUN6_STYPI	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6)	AWC38_SpisGene14639	Stylophora pistillata (Smooth cauliflower coral)	439	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]	formation of cytoplasmic translation initiation complex [GO:0001732]	GO:0001732; GO:0003743; GO:0016282; GO:0033290; GO:0071540	translation initiation factor activity [GO:0003743]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]
