From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
CAH3123089.1	A0AAU9WRN5	unreviewed	A0AAU9WRN5_9CNID	SCP domain-containing protein	PMEA_00009476	Pocillopora meandrina	882	extracellular region [GO:0005576]		GO:0005576		extracellular region [GO:0005576]
KAK2570145.1	A0AAD9QZT3	unreviewed	A0AAD9QZT3_ACRCE	Collagen alpha-1(XVII) chain	P5673_004902	Acropora cervicornis (Staghorn coral)	127	collagen trimer [GO:0005581]		GO:0005581		collagen trimer [GO:0005581]
KAK2562871.1	A0AAD9QK95	unreviewed	A0AAD9QK95_ACRCE	Parvovirus non-structural protein 1 helicase domain-containing protein	P5673_013836	Acropora cervicornis (Staghorn coral)	594		viral genome replication [GO:0019079]	GO:0019079		viral genome replication [GO:0019079]
CAB3987893.1	A0A6S7GAC0	unreviewed	A0A6S7GAC0_PARCT	Uncharacterized protein	PACLA_8A016332	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	513					
KAK2553057.1	A0AAD9Q1J0	unreviewed	A0AAD9Q1J0_ACRCE	Uncharacterized protein	P5673_025784	Acropora cervicornis (Staghorn coral)	93					
KAJ7390040.1	A0A9W9ZZ40	unreviewed	A0A9W9ZZ40_9CNID	Ricin B lectin domain-containing protein	OS493_027565	Desmophyllum pertusum	451	extracellular region [GO:0005576]; membrane [GO:0016020]	lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	GO:0005576; GO:0006869; GO:0008289; GO:0016020; GO:0042157	lipid binding [GO:0008289]	extracellular region [GO:0005576]; membrane [GO:0016020]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]
PVD26795.1	A0A2T7P064	unreviewed	A0A2T7P064_POMCA	Reverse transcriptase domain-containing protein	C0Q70_14473	Pomacea canaliculata (Golden apple snail)	213					
PFX14097.1	A0A2B4RCM8	unreviewed	A0A2B4RCM8_STYPI	60S ribosomal protein L7a	rpl7a AWC38_SpisGene21782	Stylophora pistillata (Smooth cauliflower coral)	261	cytosolic large ribosomal subunit [GO:0022625]	ribosome biogenesis [GO:0042254]	GO:0003723; GO:0022625; GO:0042254	RNA binding [GO:0003723]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; ribosome biogenesis [GO:0042254]
KAK2563929.1	A0AAD9V7E4	unreviewed	A0AAD9V7E4_ACRCE	Ladderlectin	P5673_012945	Acropora cervicornis (Staghorn coral)	1268					
CAH3108015.1	A0AAU9WB01	unreviewed	A0AAU9WB01_9CNID	Uncharacterized protein	PMEA_00003051	Pocillopora meandrina	152					
KAK2551131.1	A0AAD9UV53	unreviewed	A0AAD9UV53_ACRCE	Uncharacterized protein	P5673_028058	Acropora cervicornis (Staghorn coral)	176					
KAJ7394903.1	A0A9X0DDN2	unreviewed	A0A9X0DDN2_9CNID	Uncharacterized protein	OS493_000740	Desmophyllum pertusum	964					
CAB4042676.1	A0A7D9K8W9	unreviewed	A0A7D9K8W9_PARCT	Zinc finger and SCAN domain-containing 22	PACLA_8A018983	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	379					
CAB3979082.1	A0A6S7FQD2	unreviewed	A0A6S7FQD2_PARCT	Uncharacterized protein	PACLA_8A032991	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	335					
KAK2568356.1	A0AAD9QWI4	unreviewed	A0AAD9QWI4_ACRCE	Histamine N-methyltransferase	P5673_007377	Acropora cervicornis (Staghorn coral)	289					
KAK2555671.1	A0AAD9Q6M5	unreviewed	A0AAD9Q6M5_ACRCE	Leukocyte elastase inhibitor	P5673_022698	Acropora cervicornis (Staghorn coral)	386	extracellular space [GO:0005615]		GO:0004867; GO:0005615	serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]
KAK2560121.1	A0AAD9QFQ3	unreviewed	A0AAD9QFQ3_ACRCE	glutaminase (EC 3.5.1.2)	P5673_017085	Acropora cervicornis (Staghorn coral)	331		glutamate biosynthetic process [GO:0006537]; glutamine catabolic process [GO:0006543]	GO:0004359; GO:0006537; GO:0006543	glutaminase activity [GO:0004359]	glutaminase activity [GO:0004359]; glutamate biosynthetic process [GO:0006537]; glutamine catabolic process [GO:0006543]
KAJ7384226.1	A0A9W9ZM41	unreviewed	A0A9W9ZM41_9CNID	Transmembrane protein 192	OS493_022856	Desmophyllum pertusum	275	late endosome [GO:0005770]; lysosomal membrane [GO:0005765]		GO:0005765; GO:0005770		late endosome [GO:0005770]; lysosomal membrane [GO:0005765]
KAK2571226.1	A0AAD9R170	unreviewed	A0AAD9R170_ACRCE	receptor protein-tyrosine kinase (EC 2.7.10.1)	P5673_003792	Acropora cervicornis (Staghorn coral)	943	plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]	GO:0004714; GO:0005524; GO:0005886; GO:0007169; GO:0043235; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]
CAB3999376.1	A0A6S7H5W0	unreviewed	A0A6S7H5W0_PARCT	Replication-associated	PACLA_8A037200	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	465			GO:0003723; GO:0003724	RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
KAK2553440.1	A0AAD9Q288	unreviewed	A0AAD9Q288_ACRCE	NLR family CARD domain-containing protein 3	P5673_025195	Acropora cervicornis (Staghorn coral)	541	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAK2574568.1	A0AAD9R827	unreviewed	A0AAD9R827_ACRCE	Ran-specific GTPase-activating protein	P5673_000755	Acropora cervicornis (Staghorn coral)	221	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]	nucleocytoplasmic transport [GO:0006913]	GO:0005096; GO:0005643; GO:0005737; GO:0006913	GTPase activator activity [GO:0005096]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; GTPase activator activity [GO:0005096]; nucleocytoplasmic transport [GO:0006913]
KAJ7386732.1	A0A9W9ZS71	unreviewed	A0A9W9ZS71_9CNID	Tyr recombinase domain-containing protein	OS493_006745	Desmophyllum pertusum	749		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
CAB4031425.1	A0A7D9LCS2	unreviewed	A0A7D9LCS2_PARCT	Zinc finger 862-like	PACLA_8A021023	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	344			GO:0046983	protein dimerization activity [GO:0046983]	protein dimerization activity [GO:0046983]
KAK2546768.1	A0AAD9UR45	unreviewed	A0AAD9UR45_ACRCE	Maternal protein exuperantia	P5673_033589	Acropora cervicornis (Staghorn coral)	215	cytoplasm [GO:0005737]	DNA catabolic process [GO:0006308]	GO:0003676; GO:0005737; GO:0006308; GO:0008296	3'-5'-DNA exonuclease activity [GO:0008296]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; 3'-5'-DNA exonuclease activity [GO:0008296]; nucleic acid binding [GO:0003676]; DNA catabolic process [GO:0006308]
KAK2551004.1	A0AAD9PY30	unreviewed	A0AAD9PY30_ACRCE	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	P5673_028224	Acropora cervicornis (Staghorn coral)	1643	cytoplasm [GO:0005737]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]	cell migration [GO:0016477]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol-mediated signaling [GO:0048015]	GO:0005524; GO:0005737; GO:0005886; GO:0005942; GO:0016303; GO:0016477; GO:0035005; GO:0035091; GO:0043491; GO:0048015	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]	cytoplasm [GO:0005737]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; cell migration [GO:0016477]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol-mediated signaling [GO:0048015]
KAK2560998.1	A0AAD9QGN8	unreviewed	A0AAD9QGN8_ACRCE	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158)	P5673_016125	Acropora cervicornis (Staghorn coral)	627	nucleus [GO:0005634]	inositol phosphate biosynthetic process [GO:0032958]	GO:0005524; GO:0005634; GO:0032958; GO:0035299	ATP binding [GO:0005524]; inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity [GO:0035299]	nucleus [GO:0005634]; ATP binding [GO:0005524]; inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity [GO:0035299]; inositol phosphate biosynthetic process [GO:0032958]
KAK2556579.1	A0AAD9V0A8	unreviewed	A0AAD9V0A8_ACRCE	Kazal-like domain-containing protein	P5673_021492	Acropora cervicornis (Staghorn coral)	622					
CAB3990703.1	A0A6S7GHC5	unreviewed	A0A6S7GHC5_PARCT	Uncharacterized protein	PACLA_8A064578	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	717			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
KAJ7363448.1	A0A9W9YR36	unreviewed	A0A9W9YR36_9CNID	Death domain-containing protein	OS493_009602	Desmophyllum pertusum	347		signal transduction [GO:0007165]	GO:0007165		signal transduction [GO:0007165]
CAB4010370.1	A0A7D9IPL9	unreviewed	A0A7D9IPL9_PARCT	Uncharacterized protein	PACLA_8A021357	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	329					
KAK2556399.1	A0AAD9V049	unreviewed	A0AAD9V049_ACRCE	RNA helicase (EC 3.6.4.13)	P5673_021632	Acropora cervicornis (Staghorn coral)	470			GO:0003676; GO:0003724; GO:0005524; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]
KAK2562125.1	A0AAD9QIX5	unreviewed	A0AAD9QIX5_ACRCE	SH3 domain-binding protein 5-like protein	P5673_014886	Acropora cervicornis (Staghorn coral)	464	cytoplasm [GO:0005737]	intracellular signal transduction [GO:0035556]	GO:0004860; GO:0005737; GO:0035556	protein kinase inhibitor activity [GO:0004860]	cytoplasm [GO:0005737]; protein kinase inhibitor activity [GO:0004860]; intracellular signal transduction [GO:0035556]
CAH3044265.1	A0AAU9W2C1	unreviewed	A0AAU9W2C1_9CNID	Uncharacterized protein	PMEA_00031065	Pocillopora meandrina	394					
KAJ7322757.1	A0A9W9Y9L7	unreviewed	A0A9W9Y9L7_9CNID	Uncharacterized protein	OS493_032938	Desmophyllum pertusum	115					
KAJ7373964.1	A0A9X0CUI2	unreviewed	A0A9X0CUI2_9CNID	Uncharacterized protein	OS493_009292	Desmophyllum pertusum	72					
KAJ7383128.1	A0A9X0D2B3	unreviewed	A0A9X0D2B3_9CNID	Chromo domain-containing protein	OS493_030661	Desmophyllum pertusum	228					
KAK2570355.1	A0AAD9R074	unreviewed	A0AAD9R074_ACRCE	Endoribonuclease YbeY	P5673_005150	Acropora cervicornis (Staghorn coral)	203		rRNA processing [GO:0006364]	GO:0004222; GO:0004519; GO:0006364; GO:0046872	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; rRNA processing [GO:0006364]
KAK2573556.1	A0AAD9VGF2	unreviewed	A0AAD9VGF2_ACRCE	Serpin B10	P5673_001224	Acropora cervicornis (Staghorn coral)	425	extracellular space [GO:0005615]		GO:0004867; GO:0005615	serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]
CAB4042544.1	A0A6S7KI58	unreviewed	A0A6S7KI58_PARCT	Uncharacterized protein	PACLA_8A030387	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	182					
CAB3991697.1	A0A6S7H4D5	unreviewed	A0A6S7H4D5_PARCT	RNA-directed DNA polymerase from transposon X-element	PACLA_8A015891	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	1138			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
RUS33975.1	A0A433QW64	unreviewed	A0A433QW64_9FUNG	VLIG-type G domain-containing protein	BC938DRAFT_483038	Jimgerdemannia flammicorona	2558	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]		GO:0005525; GO:0005634; GO:0005737; GO:0016020	GTP binding [GO:0005525]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; GTP binding [GO:0005525]
CAB3987353.1	A0A6S7G928	unreviewed	A0A6S7G928_PARCT	Uncharacterized protein	PACLA_8A029180	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	742	extracellular matrix [GO:0031012]		GO:0003824; GO:0031012	catalytic activity [GO:0003824]	extracellular matrix [GO:0031012]; catalytic activity [GO:0003824]
PFX23080.1	A0A2B4S2S2	unreviewed	A0A2B4S2S2_STYPI	G2/M phase-specific E3 ubiquitin-protein ligase	G2E3 AWC38_SpisGene12387	Stylophora pistillata (Smooth cauliflower coral)	1014		DNA integration [GO:0015074]	GO:0003676; GO:0004842; GO:0015074	nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]	nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]; DNA integration [GO:0015074]
KAK2563184.1	A0AAD9QL52	unreviewed	A0AAD9QL52_ACRCE	Diencephalon/mesencephalon homeobox protein 1-B	P5673_013536	Acropora cervicornis (Staghorn coral)	223	nucleus [GO:0005634]		GO:0000977; GO:0000981; GO:0005634	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
KAK2550332.1	A0AAD9PWF6	unreviewed	A0AAD9PWF6_ACRCE	Titin-like protein	P5673_029032	Acropora cervicornis (Staghorn coral)	2141		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
KAK2547160.1	A0AAD9URJ6	unreviewed	A0AAD9URJ6_ACRCE	YqaJ viral recombinase domain-containing protein	P5673_033064	Acropora cervicornis (Staghorn coral)	499		DNA repair [GO:0006281]	GO:0006281		DNA repair [GO:0006281]
KAJ7384231.1	A0A9W9ZMG1	unreviewed	A0A9W9ZMG1_9CNID	Fibronectin type-III domain-containing protein	OS493_022861	Desmophyllum pertusum	792					
KAK2560078.1	A0AAD9QF10	unreviewed	A0AAD9QF10_ACRCE	Dystonin	P5673_017033	Acropora cervicornis (Staghorn coral)	1170	nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]	cytoskeleton organization [GO:0007010]; nuclear migration [GO:0007097]; nucleus organization [GO:0006997]	GO:0005635; GO:0006997; GO:0007010; GO:0007097; GO:0019894; GO:0048471	kinesin binding [GO:0019894]	nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; kinesin binding [GO:0019894]; cytoskeleton organization [GO:0007010]; nuclear migration [GO:0007097]; nucleus organization [GO:0006997]
QFQ33541.1	A0A5P8FSD8	unreviewed	A0A5P8FSD8_ACRDI	Guanylate cyclase (EC 4.6.1.2)		Acropora digitifera (Staghorn coral)	1105	plasma membrane [GO:0005886]	intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0007168; GO:0035556	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]	plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]
KAJ7386189.1	A0A9X0D618	unreviewed	A0A9X0D618_9CNID	C2H2-type domain-containing protein	OS493_010582	Desmophyllum pertusum	784					
KAK2573717.1	A0AAD9R630	unreviewed	A0AAD9R630_ACRCE	Uncharacterized protein	P5673_001404	Acropora cervicornis (Staghorn coral)	138					
KAK2567276.1	A0AAD9QUF1	unreviewed	A0AAD9QUF1_ACRCE	Universal stress protein in QAH/OAS sulfhydrylase 3'region	P5673_009093	Acropora cervicornis (Staghorn coral)	157					
KAK2565782.1	A0AAD9QQY1	unreviewed	A0AAD9QQY1_ACRCE	Cadmium/zinc-transporting ATPase HMA2	P5673_010045	Acropora cervicornis (Staghorn coral)	1277	membrane [GO:0016020]; trans-Golgi network [GO:0005802]	copper ion transmembrane transport [GO:0035434]	GO:0005524; GO:0005802; GO:0016020; GO:0016887; GO:0019829; GO:0035434; GO:0046872	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]	membrane [GO:0016020]; trans-Golgi network [GO:0005802]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]; copper ion transmembrane transport [GO:0035434]
CAH3165061.1	A0AAU9Y3P9	unreviewed	A0AAU9Y3P9_9CNID	PHD-type domain-containing protein	PMEA_00003327	Pocillopora meandrina	385			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
KAK2551533.1	A0AAD9PYX9	unreviewed	A0AAD9PYX9_ACRCE	Integrase catalytic domain-containing protein	P5673_027501	Acropora cervicornis (Staghorn coral)	423		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
PFX18481.1	A0A2B4RLK3	unreviewed	A0A2B4RLK3_STYPI	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene17144	Stylophora pistillata (Smooth cauliflower coral)	655					
KAJ7371566.1	A0A9W9YY12	unreviewed	A0A9W9YY12_9CNID	Uncharacterized protein	OS493_024240	Desmophyllum pertusum	413					
PFX27444.1	A0A2B4S9V7	unreviewed	A0A2B4S9V7_STYPI	Uncharacterized protein	AWC38_SpisGene7872	Stylophora pistillata (Smooth cauliflower coral)	202					
CAH3147623.1	A0AAU9XGK6	unreviewed	A0AAU9XGK6_9CNID	Uncharacterized protein	PMEA_00023498	Pocillopora meandrina	218					
KAK2561545.1	A0AAD9V5K1	unreviewed	A0AAD9V5K1_ACRCE	Hexosyltransferase (EC 2.4.1.-)	P5673_015521	Acropora cervicornis (Staghorn coral)	616	Golgi cisterna membrane [GO:0032580]		GO:0008376; GO:0032580	acetylgalactosaminyltransferase activity [GO:0008376]	Golgi cisterna membrane [GO:0032580]; acetylgalactosaminyltransferase activity [GO:0008376]
GFS01587.1	A0AAV4HXX1	unreviewed	A0AAV4HXX1_9GAST	Craniofacial development protein 2	ElyMa_004585700	Elysia marginata	229		DNA repair [GO:0006281]	GO:0006281; GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]	double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; DNA repair [GO:0006281]
KAK2557958.1	A0AAD9V1P1	unreviewed	A0AAD9V1P1_ACRCE	Fatty-acid amide hydrolase 2	P5673_019520	Acropora cervicornis (Staghorn coral)	543	endomembrane system [GO:0012505]		GO:0012505; GO:0016787	hydrolase activity [GO:0016787]	endomembrane system [GO:0012505]; hydrolase activity [GO:0016787]
KAK2559508.1	A0AAD9QDX1	unreviewed	A0AAD9QDX1_ACRCE	Protein sprouty-like protein 2	P5673_018154	Acropora cervicornis (Staghorn coral)	301	cytosol [GO:0005829]; membrane [GO:0016020]	animal organ development [GO:0048513]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of Ras protein signal transduction [GO:0046580]	GO:0005829; GO:0016020; GO:0040037; GO:0046580; GO:0048513		cytosol [GO:0005829]; membrane [GO:0016020]; animal organ development [GO:0048513]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of Ras protein signal transduction [GO:0046580]
CAB4019795.1	A0A6S7IKZ1	unreviewed	A0A6S7IKZ1_PARCT	SGNH hydrolase-type esterase domain-containing protein	PACLA_8A016886	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	202					
KAJ7380675.1	A0A9W9ZFV5	unreviewed	A0A9W9ZFV5_9CNID	Uncharacterized protein	OS493_007041	Desmophyllum pertusum	545					
KAK2549783.1	A0AAD9UTX2	unreviewed	A0AAD9UTX2_ACRCE	Rhamnose-binding lectin	P5673_029764	Acropora cervicornis (Staghorn coral)	284			GO:0030246	carbohydrate binding [GO:0030246]	carbohydrate binding [GO:0030246]
CAI5792688.1	A0AA35LBE8	unreviewed	A0AA35LBE8_9SAUR	Tc1-like transposase DDE domain-containing protein	PODLI_1B033371	Podarcis lilfordi (Lilford's wall lizard)	154			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
PFX34821.1	A0A2B4SY32	unreviewed	A0A2B4SY32_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene256	Stylophora pistillata (Smooth cauliflower coral)	596					
PFX27391.1	A0A2B4SC00	unreviewed	A0A2B4SC00_STYPI	Integrase zinc-binding domain-containing protein	AWC38_SpisGene7876	Stylophora pistillata (Smooth cauliflower coral)	756					
KAJ7351060.1	A0A9X0CHU5	unreviewed	A0A9X0CHU5_9CNID	CCHC-type domain-containing protein	OS493_037013	Desmophyllum pertusum	959		DNA repair [GO:0006281]	GO:0003676; GO:0006281; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
KAK2558628.1	A0AAD9QCB6	unreviewed	A0AAD9QCB6_ACRCE	Integrase zinc-binding domain-containing protein	P5673_018821	Acropora cervicornis (Staghorn coral)	1573					
KAK2553189.1	A0AAD9UX28	unreviewed	A0AAD9UX28_ACRCE	Uncharacterized protein	P5673_025383	Acropora cervicornis (Staghorn coral)	100					
KAJ7394194.1	A0A9X0A9V3	unreviewed	A0A9X0A9V3_9CNID	Uncharacterized protein	OS493_003876	Desmophyllum pertusum	226	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
PFX24761.1	A0A2B4S4D3	unreviewed	A0A2B4S4D3_STYPI	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene10634	Stylophora pistillata (Smooth cauliflower coral)	822			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
PFX22154.1	A0A2B4RUM9	unreviewed	A0A2B4RUM9_STYPI	RNase H type-1 domain-containing protein	AWC38_SpisGene13351	Stylophora pistillata (Smooth cauliflower coral)	1125					
HBI40938.1	A0A354GIV0	unreviewed	A0A354GIV0_9FLAO	Reverse transcriptase domain-containing protein	DDY16_08330	Tenacibaculum sp	706	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
PFX32235.1	A0A2B4SUZ5	unreviewed	A0A2B4SUZ5_STYPI	Ubiquitin-conjugating enzyme E2 D1	Ube2d1 AWC38_SpisGene2852	Stylophora pistillata (Smooth cauliflower coral)	829					
KAJ7371105.1	A0A9W9YX92	unreviewed	A0A9W9YX92_9CNID	GIY-YIG domain-containing protein	OS493_027793	Desmophyllum pertusum	128					
KAK2567616.1	A0AAD9VAT5	unreviewed	A0AAD9VAT5_ACRCE	Major facilitator superfamily domain-containing protein 8	P5673_008466	Acropora cervicornis (Staghorn coral)	513	membrane [GO:0016020]		GO:0016020; GO:0022857	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
KAK2571032.1	A0AAD9R113	unreviewed	A0AAD9R113_ACRCE	Protein CFAP276	P5673_003573	Acropora cervicornis (Staghorn coral)	164					
KAK2572935.1	A0AAD9R4Z4	unreviewed	A0AAD9R4Z4_ACRCE	Zinc finger protein 271	P5673_001950	Acropora cervicornis (Staghorn coral)	677			GO:0000978; GO:0000981; GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
KAK2554188.1	A0AAD9Q3W6	unreviewed	A0AAD9Q3W6_ACRCE	Uncharacterized protein	P5673_024547	Acropora cervicornis (Staghorn coral)	261					
ABN13640.1	A3F9E4	unreviewed	A3F9E4_MONEF	Histone H2B		Montipora efflorescens (Pore coral)	117	nucleosome [GO:0000786]; nucleus [GO:0005634]		GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
KAK2556336.1	A0AAD9V057	unreviewed	A0AAD9V057_ACRCE	Uncharacterized protein	P5673_021559	Acropora cervicornis (Staghorn coral)	383					
KAK2548016.1	A0AAD9PSC3	unreviewed	A0AAD9PSC3_ACRCE	Uncharacterized protein	P5673_031902	Acropora cervicornis (Staghorn coral)	583					
KAK2565445.1	A0AAD9V984	unreviewed	A0AAD9V984_ACRCE	Tectonin beta-propeller repeat-containing protein 1	P5673_010507	Acropora cervicornis (Staghorn coral)	1023	autophagosome membrane [GO:0000421]; lysosomal membrane [GO:0005765]		GO:0000421; GO:0005765		autophagosome membrane [GO:0000421]; lysosomal membrane [GO:0005765]
PFX15181.1	A0A2B4RC14	unreviewed	A0A2B4RC14_STYPI	Uncharacterized protein	AWC38_SpisGene20605	Stylophora pistillata (Smooth cauliflower coral)	239					
CAH3169011.1	A0AAU9Y5A6	unreviewed	A0AAU9Y5A6_9CNID	Uncharacterized protein	PMEA_00010001	Pocillopora meandrina	283					
KAJ7360198.1	A0A9W9YNF7	unreviewed	A0A9W9YNF7_9CNID	OTU domain-containing protein	OS493_018191	Desmophyllum pertusum	180					
