From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_027054821.1	A0A3M6T6J0	unreviewed	A0A3M6T6J0_POCDA	SWIM-type domain-containing protein	pdam_00005074	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1663	Cul2-RING ubiquitin ligase complex [GO:0031462]		GO:0008270; GO:0031462	zinc ion binding [GO:0008270]	Cul2-RING ubiquitin ligase complex [GO:0031462]; zinc ion binding [GO:0008270]	
XP_027053277.1	A0A3M6UKX1	unreviewed	A0A3M6UKX1_POCDA	T-box domain-containing protein	pdam_00012145	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	825	chromatin [GO:0000785]; nucleus [GO:0005634]	cell fate specification [GO:0001708]; positive regulation of DNA-templated transcription [GO:0045893]; system development [GO:0048731]	GO:0000785; GO:0000978; GO:0000981; GO:0001708; GO:0005634; GO:0045893; GO:0048731	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cell fate specification [GO:0001708]; positive regulation of DNA-templated transcription [GO:0045893]; system development [GO:0048731]	
XP_027057921.1	A0A3M6V5P8	unreviewed	A0A3M6V5P8_POCDA	Condensation domain-containing protein	pdam_00005612	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	430						
XP_027055150.1	A0A3M6T622	unreviewed	A0A3M6T622_POCDA	AAA+ ATPase domain-containing protein	pdam_00020267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	666						
XP_027038204.1	A0A3M6UAD7	unreviewed	A0A3M6UAD7_POCDA	non-specific serine/threonine protein kinase (EC 2.7.11.1)	pdam_00009667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	775		intracellular signal transduction [GO:0035556]	GO:0004672; GO:0005524; GO:0035556	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	
XP_027036320.1	A0A3M6UFA6	unreviewed	A0A3M6UFA6_POCDA	Uncharacterized protein	pdam_00014399	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	137						
XP_027052967.1	A0A3M6TAV9	unreviewed	A0A3M6TAV9_POCDA	EamA domain-containing protein	pdam_00010243	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	131	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027056582.1	A0A3M6UX81	unreviewed	A0A3M6UX81_POCDA	Cilia- and flagella-associated protein 53	pdam_00000221	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	513	cilium [GO:0005929]		GO:0005929		cilium [GO:0005929]	
XP_027059780.1	A0A3M6URD1	unreviewed	A0A3M6URD1_POCDA	small monomeric GTPase (EC 3.6.5.2)	pdam_00006266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	223			GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	
XP_027047033.1	A0A3M6ULX9	unreviewed	A0A3M6ULX9_POCDA	EGF-like domain-containing protein	pdam_00009350	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	466			GO:0005509; GO:0005524	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]	
XP_027048420.1	A0A3M6TLN6	unreviewed	A0A3M6TLN6_POCDA	Uncharacterized protein	pdam_00009840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	325						
XP_027057988.1	A0A3M6UU41	unreviewed	A0A3M6UU41_POCDA	Domain of unknown function with conserved HDNR motif domain-containing protein	pdam_00008223	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	379	cytoplasm [GO:0005737]		GO:0005737		cytoplasm [GO:0005737]	
XP_027059592.1	A0A3M6UQX2	unreviewed	A0A3M6UQX2_POCDA	Uncharacterized protein	pdam_00023993	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	200	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027044018.1	A0A3M6TX45	unreviewed	A0A3M6TX45_POCDA	ubiquitinyl hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme A)	pdam_00011018	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	500		protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]	GO:0004843; GO:0006508; GO:0016579; GO:0061578	cysteine-type deubiquitinase activity [GO:0004843]; K63-linked deubiquitinase activity [GO:0061578]	cysteine-type deubiquitinase activity [GO:0004843]; K63-linked deubiquitinase activity [GO:0061578]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]	
XP_027039673.1	A0A3M6U6R0	unreviewed	A0A3M6U6R0_POCDA	Uncharacterized protein	pdam_00018218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	465						
XP_027056683.1	A0A3M6UWV3	unreviewed	A0A3M6UWV3_POCDA	Uncharacterized protein	pdam_00013829	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	199						
XP_027035853.1	A0A3M6V6V0	unreviewed	A0A3M6V6V0_POCDA	C-type lectin domain-containing protein	pdam_00003558	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	248						
XP_027050174.1	A0A3M6THS3	unreviewed	A0A3M6THS3_POCDA	Phospholipid/glycerol acyltransferase domain-containing protein	pdam_00006480	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	310	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]	phosphatidylinositol acyl-chain remodeling [GO:0036149]	GO:0005783; GO:0016020; GO:0016746; GO:0036149	acyltransferase activity [GO:0016746]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; acyltransferase activity [GO:0016746]; phosphatidylinositol acyl-chain remodeling [GO:0036149]	
XP_027052219.1	A0A3M6UKY9	unreviewed	A0A3M6UKY9_POCDA	Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2)	pdam_00016913	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	115	cytosolic large ribosomal subunit [GO:0022625]	cytoplasmic translational elongation [GO:0002182]	GO:0002182; GO:0003735; GO:0022625	structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translational elongation [GO:0002182]	
XP_027040658.1	A0A3M6V310	unreviewed	A0A3M6V310_POCDA	Large ribosomal subunit protein mL52 (39S ribosomal protein L52, mitochondrial)	pdam_00017027	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	122	mitochondrial large ribosomal subunit [GO:0005762]	mitochondrial translation [GO:0032543]	GO:0003735; GO:0005762; GO:0032543	structural constituent of ribosome [GO:0003735]	mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]	
XP_027048348.1	A0A3M6TLU9	unreviewed	A0A3M6TLU9_POCDA	GATA zinc finger domain-containing protein 1	pdam_00014663	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	226	nucleus [GO:0005634]	chromatin organization [GO:0006325]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006325; GO:0006355; GO:0008270; GO:0043565	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; regulation of DNA-templated transcription [GO:0006355]	
XP_027042843.1	A0A3M6V2G9	unreviewed	A0A3M6V2G9_POCDA	riboflavin kinase (EC 2.7.1.26)	pdam_00001088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	165	mitochondrion [GO:0005739]	FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]	GO:0005524; GO:0005739; GO:0008531; GO:0009231; GO:0009398	ATP binding [GO:0005524]; riboflavin kinase activity [GO:0008531]	mitochondrion [GO:0005739]; ATP binding [GO:0005524]; riboflavin kinase activity [GO:0008531]; FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]	
XP_027059561.1	A0A3M6UQT0	unreviewed	A0A3M6UQT0_POCDA	MD-2-related lipid-recognition domain-containing protein	pdam_00019580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	251						
XP_027054208.1	A0A3M6T7Z9	unreviewed	A0A3M6T7Z9_POCDA	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein	pdam_00012831	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	540	membrane [GO:0016020]		GO:0004888; GO:0005230; GO:0016020	extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	membrane [GO:0016020]; extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	
XP_027039390.1	A0A3M6U7K0	unreviewed	A0A3M6U7K0_POCDA	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	MED11 pdam_00003024	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	167	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016592	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	MED11
XP_027037010.1	A0A3M6UDU0	unreviewed	A0A3M6UDU0_POCDA	TIR domain-containing protein	pdam_00008109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	659		signal transduction [GO:0007165]	GO:0007165		signal transduction [GO:0007165]	
XP_027057429.1	A0A3M6V6W2	unreviewed	A0A3M6V6W2_POCDA	Nucleoporin NUP53	pdam_00007403	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	339	nuclear membrane [GO:0031965]; nuclear pore central transport channel [GO:0044613]; nuclear pore nuclear basket [GO:0044615]	mRNA transport [GO:0051028]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore organization [GO:0006999]	GO:0003676; GO:0005543; GO:0006607; GO:0006999; GO:0017056; GO:0031965; GO:0044613; GO:0044615; GO:0051028	nucleic acid binding [GO:0003676]; phospholipid binding [GO:0005543]; structural constituent of nuclear pore [GO:0017056]	nuclear membrane [GO:0031965]; nuclear pore central transport channel [GO:0044613]; nuclear pore nuclear basket [GO:0044615]; nucleic acid binding [GO:0003676]; phospholipid binding [GO:0005543]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore organization [GO:0006999]	
XP_027056763.1	A0A3M6UWP5	unreviewed	A0A3M6UWP5_POCDA	EF-hand domain-containing protein	pdam_00013426	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	176	cytoplasm [GO:0005737]		GO:0005509; GO:0005737; GO:0048306	calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]	
XP_027054847.1	A0A3M6T6N4	unreviewed	A0A3M6T6N4_POCDA	Proliferating cell nuclear antigen	pdam_00005081	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	265	PCNA complex [GO:0043626]	leading strand elongation [GO:0006272]; mismatch repair [GO:0006298]; regulation of DNA replication [GO:0006275]; translesion synthesis [GO:0019985]	GO:0003677; GO:0006272; GO:0006275; GO:0006298; GO:0019985; GO:0030337; GO:0043626	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]	PCNA complex [GO:0043626]; DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]; leading strand elongation [GO:0006272]; mismatch repair [GO:0006298]; regulation of DNA replication [GO:0006275]; translesion synthesis [GO:0019985]	
XP_027043971.1	A0A3M6TX99	unreviewed	A0A3M6TX99_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00020233	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	262	membrane [GO:0016020]		GO:0004930; GO:0016020	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	
XP_027038743.1	A0A3M6U970	unreviewed	A0A3M6U970_POCDA	BTB domain-containing protein	pdam_00002935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	385						
XP_022793345.1	A0A2B4R859	unreviewed	A0A2B4R859_STYPI	THAP domain-containing protein 1	thap1 AWC38_SpisGene23476	Stylophora pistillata (Smooth cauliflower coral)	200	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0008270	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]	thap1
XP_022793345.1	A0A2B4S268	unreviewed	A0A2B4S268_STYPI	THAP-type domain-containing protein	AWC38_SpisGene11452 AWC38_SpisGene11454	Stylophora pistillata (Smooth cauliflower coral)	506			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	
XP_027046831.1	A0A3M6TR48	unreviewed	A0A3M6TR48_POCDA	UbiA prenyltransferase domain-containing protein 1	pdam_00006395	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	290	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]	menaquinone biosynthetic process [GO:0009234]; ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate [GO:0032194]; vitamin K biosynthetic process [GO:0042371]	GO:0000139; GO:0004659; GO:0005783; GO:0009234; GO:0032194; GO:0042371	prenyltransferase activity [GO:0004659]	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; prenyltransferase activity [GO:0004659]; menaquinone biosynthetic process [GO:0009234]; ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate [GO:0032194]; vitamin K biosynthetic process [GO:0042371]	
XP_027052878.1	A0A3M6TBA3	unreviewed	A0A3M6TBA3_POCDA	Inosine/uridine-preferring nucleoside hydrolase domain-containing protein	pdam_00008366	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	316		nucleobase-containing compound metabolic process [GO:0006139]	GO:0006139; GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]	hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]; nucleobase-containing compound metabolic process [GO:0006139]	
XP_027057456.1	A0A3M6V6A1	unreviewed	A0A3M6V6A1_POCDA	Mucin-like protein	pdam_00007407	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1579	membrane [GO:0016020]	cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0007160; GO:0016020	calcium ion binding [GO:0005509]	membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	
XP_027059116.1	A0A3M6URN5	unreviewed	A0A3M6URN5_POCDA	Phosphoserine phosphatase (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	pdam_00019257	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	294	cytoplasm [GO:0005737]	L-serine biosynthetic process [GO:0006564]	GO:0000287; GO:0005737; GO:0006564; GO:0036424	L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; L-serine biosynthetic process [GO:0006564]	
XP_027052349.1	A0A3M6TCE2	unreviewed	A0A3M6TCE2_POCDA	BRO1 domain-containing protein	pdam_00017609	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	461						
XP_027058538.1	A0A3M6V5A1	unreviewed	A0A3M6V5A1_POCDA	Uncharacterized protein	pdam_00020651	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	162						
XP_022798734.1	A0A2B4RUK2	unreviewed	A0A2B4RUK2_STYPI	Polycystic kidney disease protein 1-like 2	Pkd1l2 AWC38_SpisGene15080	Stylophora pistillata (Smooth cauliflower coral)	3265	plasma membrane [GO:0005886]	detection of mechanical stimulus [GO:0050982]	GO:0005262; GO:0005509; GO:0005886; GO:0050982	calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; detection of mechanical stimulus [GO:0050982]	Pkd1l2
XP_027049263.1	A0A3M6TJF0	unreviewed	A0A3M6TJF0_POCDA	F-box domain-containing protein	pdam_00008670	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	455	SCF ubiquitin ligase complex [GO:0019005]	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	GO:0019005; GO:0031146		SCF ubiquitin ligase complex [GO:0019005]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	
XP_027046957.1	A0A3M6ULV9	unreviewed	A0A3M6ULV9_POCDA	F-box domain-containing protein	pdam_00009344	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	275						
XP_022799330.1	A0A2B4RTD0	unreviewed	A0A2B4RTD0_STYPI	Alpha/beta hydrolase domain-containing protein 17C	abhd17c AWC38_SpisGene15473	Stylophora pistillata (Smooth cauliflower coral)	287	endosome membrane [GO:0010008]; plasma membrane [GO:0005886]		GO:0005886; GO:0008474; GO:0010008	palmitoyl-(protein) hydrolase activity [GO:0008474]	endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; palmitoyl-(protein) hydrolase activity [GO:0008474]	abhd17c
XP_027047604.1	A0A3M6TNP6	unreviewed	A0A3M6TNP6_POCDA	Vang-like protein	pdam_00001862	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	499	plasma membrane [GO:0005886]		GO:0005886		plasma membrane [GO:0005886]	
XP_027049844.1	A0A3M6THY5	unreviewed	A0A3M6THY5_POCDA	POU domain protein	pdam_00003284	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	186	nucleus [GO:0005634]		GO:0000978; GO:0000981; GO:0005634	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	
XP_027047588.1	A0A3M6TNR4	unreviewed	A0A3M6TNR4_POCDA	RanBP2-type domain-containing protein	pdam_00015273	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	764	cytoplasm [GO:0005737]		GO:0005737; GO:0008270	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	
XP_027041810.1	A0A3M6U1K1	unreviewed	A0A3M6U1K1_POCDA	Protein kinase domain-containing protein	pdam_00019002	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	322	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	G1/S transition of mitotic cell cycle [GO:0000082]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; signal transduction [GO:0007165]	GO:0000082; GO:0000307; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0010389; GO:0010468; GO:0030332	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; G1/S transition of mitotic cell cycle [GO:0000082]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; signal transduction [GO:0007165]	
XP_027045678.1	A0A3M6TTT7	unreviewed	A0A3M6TTT7_POCDA	Uncharacterized protein	pdam_00002727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	250						
XP_027048988.1	A0A3M6TK83	unreviewed	A0A3M6TK83_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00005588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	331	plasma membrane [GO:0005886]	cellular response to hormone stimulus [GO:0032870]	GO:0004930; GO:0005886; GO:0032870; GO:0042277	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; cellular response to hormone stimulus [GO:0032870]	
XP_027054703.1	A0A3M6T710	unreviewed	A0A3M6T710_POCDA	F-box domain-containing protein	pdam_00020050	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	480						
XP_027036326.1	A0A3M6UG37	unreviewed	A0A3M6UG37_POCDA	GRAM domain-containing protein	pdam_00020499	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	264	nucleus [GO:0005634]		GO:0003713; GO:0005634; GO:0031490	chromatin DNA binding [GO:0031490]; transcription coactivator activity [GO:0003713]	nucleus [GO:0005634]; chromatin DNA binding [GO:0031490]; transcription coactivator activity [GO:0003713]	
XP_027041440.1	A0A3M6V3J0	unreviewed	A0A3M6V3J0_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00019541	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	377	plasma membrane [GO:0005886]		GO:0004930; GO:0005886	G protein-coupled receptor activity [GO:0004930]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	
XP_022782931.1	A0A2B4SNW1	unreviewed	A0A2B4SNW1_STYPI	Hemicentin-2	HMCN2 AWC38_SpisGene4974	Stylophora pistillata (Smooth cauliflower coral)	681						HMCN2
XP_027047541.1	A0A3M6TPF2	unreviewed	A0A3M6TPF2_POCDA	Tectonic domain-containing protein	pdam_00006889	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1012	membrane [GO:0016020]	cilium assembly [GO:0060271]	GO:0016020; GO:0060271		membrane [GO:0016020]; cilium assembly [GO:0060271]	
XP_027039627.1	A0A3M6U7H2	unreviewed	A0A3M6U7H2_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00015312	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	379	plasma membrane [GO:0005886]	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]	GO:0004930; GO:0005886; GO:0043410; GO:0071880	G protein-coupled receptor activity [GO:0004930]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]	
XP_027058743.1	A0A3M6USE8	unreviewed	A0A3M6USE8_POCDA	V-type proton ATPase subunit	pdam_00002394	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	374	proton-transporting V-type ATPase, V0 domain [GO:0033179]		GO:0033179; GO:0046961	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	proton-transporting V-type ATPase, V0 domain [GO:0033179]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	
XP_027057126.1	A0A3M6UVP9	unreviewed	A0A3M6UVP9_POCDA	G-protein coupled receptors family 3 profile domain-containing protein	pdam_00020084	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	283	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027048874.1	A0A3M6TKP7	unreviewed	A0A3M6TKP7_POCDA	Uncharacterized protein	pdam_00006682	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	537	nucleus [GO:0005634]	rRNA processing [GO:0006364]	GO:0005634; GO:0006364		nucleus [GO:0005634]; rRNA processing [GO:0006364]	
XP_027051373.1	A0A3M6TEL8	unreviewed	A0A3M6TEL8_POCDA	Uncharacterized protein	pdam_00007131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	516						
XP_027054412.1	A0A3M6T7M7	unreviewed	A0A3M6T7M7_POCDA	EF-hand domain-containing protein	pdam_00008924	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	617			GO:0005509	calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	
XP_027050749.1	A0A3M6TG63	unreviewed	A0A3M6TG63_POCDA	RING-type domain-containing protein	pdam_00019657	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1475	nucleoplasm [GO:0005654]		GO:0005654; GO:0008270; GO:0061630	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	nucleoplasm [GO:0005654]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	
XP_027058408.1	A0A3M6UT94	unreviewed	A0A3M6UT94_POCDA	RING-type E3 ubiquitin transferase	pdam_00006317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	547	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]	regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	GO:0005164; GO:0005737; GO:0007165; GO:0008270; GO:0009898; GO:0042981; GO:0043122	tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	
XP_031573596.1	A0A6P8J112	unreviewed	A0A6P8J112_ACTTE	Uncharacterized protein LOC116307468	LOC116307468	Actinia tenebrosa (Australian red waratah sea anemone)	230			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	LOC116307468
XP_027044890.1	A0A3M6TVD9	unreviewed	A0A3M6TVD9_POCDA	Protein Lines N-terminal domain-containing protein	pdam_00000860	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	836						
XP_027052499.1	A0A3M6TC42	unreviewed	A0A3M6TC42_POCDA	Coiled-coil domain-containing protein 51	pdam_00016433	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	509	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027043025.1	A0A3M6TZK5	unreviewed	A0A3M6TZK5_POCDA	Fibroblast growth factor	pdam_00007632	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	186			GO:0008083	growth factor activity [GO:0008083]	growth factor activity [GO:0008083]	
XP_027055426.1	A0A3M6T536	unreviewed	A0A3M6T536_POCDA	Cytochrome b5 heme-binding domain-containing protein	pdam_00010033	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	91	intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]		GO:0016020; GO:0020037; GO:0043231; GO:0046872	heme binding [GO:0020037]; metal ion binding [GO:0046872]	intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	
